Script started on Sun 26 Nov 2017 06:46:48 PM EST
]0;alex@alex-obsidubuntu: ~/git/MSCS692/shah-03/files/ae[01;32malex@alex-obsidubuntu[00m:[01;34m~/git/MSCS692/shah-03/files/ae[00m$ pt [K[Ky autoencoder.py 
2017-11-26 18:46:53.448634: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-11-26 18:46:53.539410: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-26 18:46:53.539639: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 10.89GiB freeMemory: 10.10GiB
2017-11-26 18:46:53.539651: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|          7530 |    39164.6758 | Layer 1 | Epoch 124  |
|          7560 |    39870.6641 | Layer 1 | Epoch 124  |
|          7590 |    39935.3164 | Layer 1 | Epoch 125  |
|          7620 |    42001.3320 | Layer 1 | Epoch 125  |
|          7650 |    38590.0039 | Layer 1 | Epoch 126  |
|          7680 |    39795.6250 | Layer 1 | Epoch 126  |
|          7710 |    39340.7148 | Layer 1 | Epoch 127  |
|          7740 |    40024.5195 | Layer 1 | Epoch 127  |
|          7770 |    37177.1016 | Layer 1 | Epoch 128  |
|          7800 |    38350.3047 | Layer 1 | Epoch 128  |
|          7830 |    37878.1758 | Layer 1 | Epoch 129  |
|          7860 |    39163.5039 | Layer 1 | Epoch 129  |
|          7890 |    37756.6484 | Layer 1 | Epoch 130  |
|          7920 |    40457.1055 | Layer 1 | Epoch 130  |
|          7950 |    40167.6562 | Layer 1 | Epoch 131  |
|          7980 |    40176.5430 | Layer 1 | Epoch 131  |
|          8010 |    41536.7031 | Layer 1 | Epoch 132  |
|          8040 |    39478.6562 | Layer 1 | Epoch 132  |
|          8070 |    39490.7578 | Layer 1 | Epoch 133  |
|          8100 |    40089.5000 | Layer 1 | Epoch 133  |
|          8130 |    39941.9922 | Layer 1 | Epoch 134  |
|          8160 |    38047.2773 | Layer 1 | Epoch 134  |
|          8190 |    40249.8359 | Layer 1 | Epoch 135  |
|          8220 |    39313.6758 | Layer 1 | Epoch 135  |
|          8250 |    41157.3438 | Layer 1 | Epoch 136  |
|          8280 |    39811.1250 | Layer 1 | Epoch 136  |
|          8310 |    39190.8203 | Layer 1 | Epoch 137  |
|          8340 |    38721.3828 | Layer 1 | Epoch 137  |
|          8370 |    39715.9609 | Layer 1 | Epoch 138  |
|          8400 |    39662.9727 | Layer 1 | Epoch 138  |
|          8430 |    36485.2305 | Layer 1 | Epoch 139  |
|          8460 |    38148.4570 | Layer 1 | Epoch 139  |
|          8490 |    40178.5234 | Layer 1 | Epoch 140  |
|          8520 |    37269.9062 | Layer 1 | Epoch 140  |
|          8550 |    36593.2969 | Layer 1 | Epoch 141  |
|          8580 |    37713.3633 | Layer 1 | Epoch 141  |
|          8610 |    39107.6680 | Layer 1 | Epoch 142  |
|          8640 |    38201.0352 | Layer 1 | Epoch 142  |
|          8670 |    36603.1914 | Layer 1 | Epoch 143  |
|          8700 |    38846.9766 | Layer 1 | Epoch 143  |
|          8730 |    39940.8711 | Layer 1 | Epoch 144  |
|          8760 |    38854.7344 | Layer 1 | Epoch 144  |
