Script started on Sun 26 Nov 2017 07:28:52 PM EST
]0;alex@alex-obsidubuntu: ~/git/MSCS692/shah-03/files/ae[01;32malex@alex-obsidubuntu[00m:[01;34m~/git/MSCS692/shah-03/files/ae[00m$ exit[Kpy autoencoder.py 
2017-11-26 19:29:11.036617: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-11-26 19:29:11.127298: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-26 19:29:11.127532: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 10.89GiB freeMemory: 10.06GiB
2017-11-26 19:29:11.127543: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|          6480 |    34970.2109 | Layer 1 | Epoch 107  |
|          6510 |    34825.0742 | Layer 1 | Epoch 107  |
|          6540 |    36203.7695 | Layer 1 | Epoch 108  |
|          6570 |    35882.4102 | Layer 1 | Epoch 108  |
|          6600 |    34499.2734 | Layer 1 | Epoch 109  |
|          6630 |    37374.4375 | Layer 1 | Epoch 109  |
|          6660 |    33670.8672 | Layer 1 | Epoch 110  |
|          6690 |    34198.7109 | Layer 1 | Epoch 110  |
|          6720 |    37654.0039 | Layer 1 | Epoch 111  |
|          6750 |    36572.2930 | Layer 1 | Epoch 111  |
|          6780 |    34352.1484 | Layer 1 | Epoch 112  |
|          6810 |    35739.4453 | Layer 1 | Epoch 112  |
|          6840 |    34471.5508 | Layer 1 | Epoch 113  |
|          6870 |    35851.4023 | Layer 1 | Epoch 113  |
|          6900 |    35333.1797 | Layer 1 | Epoch 114  |
|          6930 |    34317.0820 | Layer 1 | Epoch 114  |
|          6960 |    35750.7812 | Layer 1 | Epoch 115  |
|          6990 |    36914.4570 | Layer 1 | Epoch 115  |
|          7020 |    38086.9688 | Layer 1 | Epoch 116  |
|          7050 |    36951.2578 | Layer 1 | Epoch 116  |
|          7080 |    35078.7266 | Layer 1 | Epoch 117  |
|          7110 |    35221.5234 | Layer 1 | Epoch 117  |
|          7140 |    37606.2617 | Layer 1 | Epoch 118  |
|          7170 |    34299.7500 | Layer 1 | Epoch 118  |
|          7200 |    35983.7227 | Layer 1 | Epoch 119  |
|          7230 |    34899.8047 | Layer 1 | Epoch 119  |
|          7260 |    35445.8320 | Layer 1 | Epoch 120  |
|          7290 |    35343.3984 | Layer 1 | Epoch 120  |
|          7320 |    35012.0234 | Layer 1 | Epoch 121  |
|          7350 |    34639.8984 | Layer 1 | Epoch 121  |
|          7380 |    35724.9844 | Layer 1 | Epoch 121  |
|          7410 |    35777.7266 | Layer 1 | Epoch 122  |
|          7440 |    34801.5586 | Layer 1 | Epoch 122  |
|          7470 |    35004.0820 | Layer 1 | Epoch 123  |
|          7500 |    32289.1758 | Layer 1 | Epoch 123  |
|          7530 |    35710.3750 | Layer 1 | Epoch 124  |
|          7560 |    36035.3633 | Layer 1 | Epoch 124  |
|          7590 |    34632.1406 | Layer 1 | Epoch 125  |
|          7620 |    36307.2578 | Layer 1 | Epoch 125  |
|          7650 |    34890.6836 | Layer 1 | Epoch 126  |
|          7680 |    35716.8359 | Layer 1 | Epoch 126  |
|          7710 |    36551.5078 | Layer 1 | Epoch 127  |
|          7740 |    34614.3828 | Layer 1 | Epoch 127  |
|          7770 |    34169.6992 | Layer 1 | Epoch 128  |
|          7800 |    34449.2578 | Layer 1 | Epoch 128  |
|          7830 |    36056.9883 | Layer 1 | Epoch 129  |
|          7860 |    35924.6953 | Layer 1 | Epoch 129  |
|          7890 |    35700.4180 | Layer 1 | Epoch 130  |
|          7920 |    35477.9141 | Layer 1 | Epoch 130  |
|          7950 |    35733.8828 | Layer 1 | Epoch 131  |
|          7980 |    34124.5820 | Layer 1 | Epoch 131  |
|          8010 |    33473.6680 | Layer 1 | Epoch 132  |
|          8040 |    36950.0117 | Layer 1 | Epoch 132  |
|          8070 |    34941.9688 | Layer 1 | Epoch 133  |
|          8100 |    34731.1016 | Layer 1 | Epoch 133  |
|          8130 |    35461.1992 | Layer 1 | Epoch 134  |
|          8160 |    37510.8516 | Layer 1 | Epoch 134  |
|          8190 |    37451.9180 | Layer 1 | Epoch 135  |
|          8220 |    36838.1602 | Layer 1 | Epoch 135  |
|          8250 |    34451.7617 | Layer 1 | Epoch 136  |
|          8280 |    35836.9062 | Layer 1 | Epoch 136  |
|          8310 |    35784.0352 | Layer 1 | Epoch 137  |
|          8340 |    33687.2422 | Layer 1 | Epoch 137  |
|          8370 |    35218.9609 | Layer 1 | Epoch 138  |
|          8400 |    33292.4648 | Layer 1 | Epoch 138  |
|          8430 |    33073.4688 | Layer 1 | Epoch 139  |
|          8460 |    36788.0117 | Layer 1 | Epoch 139  |
|          8490 |    35032.9375 | Layer 1 | Epoch 140  |
|          8520 |    31959.2148 | Layer 1 | Epoch 140  |
|          8550 |    33721.8008 | Layer 1 | Epoch 141  |
|          8580 |    36106.0820 | Layer 1 | Epoch 141  |
|          8610 |    34075.5156 | Layer 1 | Epoch 142  |
|          8640 |    36132.8320 | Layer 1 | Epoch 142  |
|          8670 |    36088.0625 | Layer 1 | Epoch 143  |
|          8700 |    37156.8984 | Layer 1 | Epoch 143  |
|          8730 |    36086.7930 | Layer 1 | Epoch 144  |
|          8760 |    34603.5078 | Layer 1 | Epoch 144  |
|          8790 |    35100.9883 | Layer 1 | Epoch 145  |
|          8820 |    35112.8633 | Layer 1 | Epoch 145  |
|          8850 |    37665.5547 | Layer 1 | Epoch 146  |
|          8880 |    33850.2969 | Layer 1 | Epoch 146  |
|          8910 |    36473.3633 | Layer 1 | Epoch 147  |
|          8940 |    36652.2266 | Layer 1 | Epoch 147  |
|          8970 |    36071.7578 | Layer 1 | Epoch 148  |
|          9000 |    35363.2734 | Layer 1 | Epoch 148  |
|          9030 |    35836.5547 | Layer 1 | Epoch 149  |
|          9060 |    34161.9062 | Layer 1 | Epoch 149  |
|          9090 |    34505.4648 | Layer 1 | Epoch 150  |
|          9120 |    35363.6641 | Layer 1 | Epoch 150  |
|          9150 |    34574.2617 | Layer 1 | Epoch 151  |
|          9180 |    33798.3008 | Layer 1 | Epoch 151  |
|          9210 |    34230.8516 | Layer 1 | Epoch 151  |
|          9240 |    35297.2500 | Layer 1 | Epoch 152  |
|          9270 |    34101.6641 | Layer 1 | Epoch 152  |
|          9300 |    37160.7188 | Layer 1 | Epoch 153  |
|          9330 |    35479.8750 | Layer 1 | Epoch 153  |
|          9360 |    37947.3633 | Layer 1 | Epoch 154  |
|          9390 |    35609.2578 | Layer 1 | Epoch 154  |
|          9420 |    36617.6797 | Layer 1 | Epoch 155  |
|          9450 |    35805.6055 | Layer 1 | Epoch 155  |
|          9480 |    34980.7109 | Layer 1 | Epoch 156  |
|          9510 |    36096.3281 | Layer 1 | Epoch 156  |
|          9540 |    35095.0703 | Layer 1 | Epoch 157  |
|          9570 |    33352.7109 | Layer 1 | Epoch 157  |
|          9600 |    34179.4609 | Layer 1 | Epoch 158  |
|          9630 |    35505.6914 | Layer 1 | Epoch 158  |
|          9660 |    36570.0977 | Layer 1 | Epoch 159  |
|          9690 |    33897.3047 | Layer 1 | Epoch 159  |
|          9720 |    36180.6055 | Layer 1 | Epoch 160  |
|          9750 |    35030.2422 | Layer 1 | Epoch 160  |
|          9780 |    33612.2109 | Layer 1 | Epoch 161  |
|          9810 |    34591.7891 | Layer 1 | Epoch 161  |
|          9840 |    35455.0898 | Layer 1 | Epoch 162  |
|          9870 |    33295.8477 | Layer 1 | Epoch 162  |
|          9900 |    35212.7305 | Layer 1 | Epoch 163  |
|          9930 |    36051.3359 | Layer 1 | Epoch 163  |
|          9960 |    35582.5312 | Layer 1 | Epoch 164  |
|          9990 |    34825.1797 | Layer 1 | Epoch 164  |
|         10020 |    36905.6328 | Layer 1 | Epoch 165  |
|         10050 |    35472.3984 | Layer 1 | Epoch 165  |
|         10080 |    34143.8672 | Layer 1 | Epoch 166  |
|         10110 |    34399.8242 | Layer 1 | Epoch 166  |
|         10140 |    36215.2539 | Layer 1 | Epoch 167  |
|         10170 |    33417.5234 | Layer 1 | Epoch 167  |
|         10200 |    34879.5234 | Layer 1 | Epoch 168  |
|         10230 |    34020.2109 | Layer 1 | Epoch 168  |
|         10260 |    34205.3320 | Layer 1 | Epoch 169  |
|         10290 |    35406.4297 | Layer 1 | Epoch 169  |
|         10320 |    35632.5586 | Layer 1 | Epoch 170  |
|         10350 |    37234.1328 | Layer 1 | Epoch 170  |
|         10380 |    36018.6797 | Layer 1 | Epoch 171  |
|         10410 |    35377.3672 | Layer 1 | Epoch 171  |
|         10440 |    34584.6016 | Layer 1 | Epoch 172  |
|         10470 |    34505.3867 | Layer 1 | Epoch 172  |
|         10500 |    34552.8867 | Layer 1 | Epoch 173  |
|         10530 |    33673.6172 | Layer 1 | Epoch 173  |
|         10560 |    32926.7188 | Layer 1 | Epoch 174  |
|         10590 |    35230.1914 | Layer 1 | Epoch 174  |
|         10620 |    35103.4141 | Layer 1 | Epoch 175  |
|         10650 |    34437.0547 | Layer 1 | Epoch 175  |
|         10680 |    36385.8125 | Layer 1 | Epoch 176  |
|         10710 |    35789.2695 | Layer 1 | Epoch 176  |
|         10740 |    35023.1953 | Layer 1 | Epoch 177  |
|         10770 |    35974.3203 | Layer 1 | Epoch 177  |
|         10800 |    35052.9297 | Layer 1 | Epoch 178  |
|         10830 |    34600.6055 | Layer 1 | Epoch 178  |
|         10860 |    34503.9922 | Layer 1 | Epoch 179  |
|         10890 |    35924.1172 | Layer 1 | Epoch 179  |
|         10920 |    34683.2422 | Layer 1 | Epoch 180  |
|         10950 |    35551.7539 | Layer 1 | Epoch 180  |
|         10980 |    35257.6719 | Layer 1 | Epoch 181  |
|         11010 |    36939.7930 | Layer 1 | Epoch 181  |
|         11040 |    37051.3516 | Layer 1 | Epoch 181  |
|         11070 |    34641.1641 | Layer 1 | Epoch 182  |
|         11100 |    36613.3477 | Layer 1 | Epoch 182  |
|         11130 |    33453.7266 | Layer 1 | Epoch 183  |
|         11160 |    36527.6133 | Layer 1 | Epoch 183  |
|         11190 |    35269.4883 | Layer 1 | Epoch 184  |
|         11220 |    34962.2891 | Layer 1 | Epoch 184  |
|         11250 |    33328.9766 | Layer 1 | Epoch 185  |
|         11280 |    36709.2930 | Layer 1 | Epoch 185  |
|         11310 |    32949.7383 | Layer 1 | Epoch 186  |
|         11340 |    35720.2109 | Layer 1 | Epoch 186  |
