Script started on Sun 26 Nov 2017 02:46:58 PM EST
]0;alex@alex-obsidubuntu: ~/git/MSCS692/shah-03[01;32malex@alex-obsidubuntu[00m:[01;34m~/git/MSCS692/shah-03[00m$ exit\py autoencoder.py
2017-11-26 14:47:01.497052: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-11-26 14:47:01.594700: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-26 14:47:01.594937: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 10.89GiB freeMemory: 9.81GiB
2017-11-26 14:47:01.594948: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|          9120 |    42980.1367 | Layer 1 | Epoch 150  |
|          9150 |    42049.9297 | Layer 1 | Epoch 151  |
|          9180 |    42032.4062 | Layer 1 | Epoch 151  |
|          9210 |    42591.3828 | Layer 1 | Epoch 151  |
|          9240 |    41933.8828 | Layer 1 | Epoch 152  |
|          9270 |    41015.2891 | Layer 1 | Epoch 152  |
|          9300 |    42329.9336 | Layer 1 | Epoch 153  |
|          9330 |    43169.1133 | Layer 1 | Epoch 153  |
|          9360 |    42926.4922 | Layer 1 | Epoch 154  |
|          9390 |    40781.8047 | Layer 1 | Epoch 154  |
|          9420 |    42431.3047 | Layer 1 | Epoch 155  |
|          9450 |    41159.2070 | Layer 1 | Epoch 155  |
|          9480 |    41746.9609 | Layer 1 | Epoch 156  |
|          9510 |    42815.8438 | Layer 1 | Epoch 156  |
|          9540 |    42002.2266 | Layer 1 | Epoch 157  |
|          9570 |    41866.4609 | Layer 1 | Epoch 157  |
|          9600 |    43955.2734 | Layer 1 | Epoch 158  |
|          9630 |    42917.8086 | Layer 1 | Epoch 158  |
|          9660 |    42219.1992 | Layer 1 | Epoch 159  |
|          9690 |    41200.0820 | Layer 1 | Epoch 159  |
|          9720 |    42198.4180 | Layer 1 | Epoch 160  |
|          9750 |    42314.0703 | Layer 1 | Epoch 160  |
|          9780 |    42190.0547 | Layer 1 | Epoch 161  |
|          9810 |    43284.9609 | Layer 1 | Epoch 161  |
|          9840 |    40499.6719 | Layer 1 | Epoch 162  |
|          9870 |    42215.9414 | Layer 1 | Epoch 162  |
|          9900 |    42455.8750 | Layer 1 | Epoch 163  |
|          9930 |    41542.2070 | Layer 1 | Epoch 163  |
|          9960 |    41611.6484 | Layer 1 | Epoch 164  |
|          9990 |    41622.6016 | Layer 1 | Epoch 164  |
|         10020 |    41193.8516 | Layer 1 | Epoch 165  |
|         10050 |    41792.0781 | Layer 1 | Epoch 165  |
|         10080 |    41884.0625 | Layer 1 | Epoch 166  |
|         10110 |    40802.3359 | Layer 1 | Epoch 166  |
|         10140 |    43215.9141 | Layer 1 | Epoch 167  |
|         10170 |    42467.8516 | Layer 1 | Epoch 167  |
|         10200 |    42460.8984 | Layer 1 | Epoch 168  |
|         10230 |    41121.2422 | Layer 1 | Epoch 168  |
|         10260 |    42530.2500 | Layer 1 | Epoch 169  |
|         10290 |    40378.0703 | Layer 1 | Epoch 169  |
|         10320 |    42034.2227 | Layer 1 | Epoch 170  |
|         10350 |    42560.1133 | Layer 1 | Epoch 170  |
|         10380 |    40211.0234 | Layer 1 | Epoch 171  |
|         10410 |    41633.7305 | Layer 1 | Epoch 171  |
|         10440 |    42308.6055 | Layer 1 | Epoch 172  |
|         10470 |    41076.7773 | Layer 1 | Epoch 172  |
|         10500 |    40720.8359 | Layer 1 | Epoch 173  |
|         10530 |    42166.3398 | Layer 1 | Epoch 173  |
|         10560 |    42297.0742 | Layer 1 | Epoch 174  |
|         10590 |    42368.1797 | Layer 1 | Epoch 174  |
|         10620 |    40905.5078 | Layer 1 | Epoch 175  |
|         10650 |    42937.7930 | Layer 1 | Epoch 175  |
|         10680 |    41932.6328 | Layer 1 | Epoch 176  |
|         10710 |    41138.6055 | Layer 1 | Epoch 176  |
|         10740 |    41901.3242 | Layer 1 | Epoch 177  |
|         10770 |    41755.2500 | Layer 1 | Epoch 177  |
|         10800 |    41067.3867 | Layer 1 | Epoch 178  |
|         10830 |    43462.3359 | Layer 1 | Epoch 178  |
|         10860 |    41375.4141 | Layer 1 | Epoch 179  |
|         10890 |    41856.3984 | Layer 1 | Epoch 179  |
|         10920 |    41135.2891 | Layer 1 | Epoch 180  |
|         10950 |    41004.4805 | Layer 1 | Epoch 180  |
|         10980 |    41626.5547 | Layer 1 | Epoch 181  |
|         11010 |    42996.1133 | Layer 1 | Epoch 181  |
|         11040 |    42215.4844 | Layer 1 | Epoch 181  |
|         11070 |    43430.1328 | Layer 1 | Epoch 182  |
|         11100 |    42258.4258 | Layer 1 | Epoch 182  |
|         11130 |    42131.1016 | Layer 1 | Epoch 183  |
|         11160 |    41716.3633 | Layer 1 | Epoch 183  |
|         11190 |    41965.4805 | Layer 1 | Epoch 184  |
|         11220 |    41922.5391 | Layer 1 | Epoch 184  |
|         11250 |    40393.2773 | Layer 1 | Epoch 185  |
|         11280 |    41123.5234 | Layer 1 | Epoch 185  |
|         11310 |    41092.9805 | Layer 1 | Epoch 186  |
|         11340 |    42639.0195 | Layer 1 | Epoch 186  |
|         11370 |    41843.8047 | Layer 1 | Epoch 187  |
|         11400 |    41333.2305 | Layer 1 | Epoch 187  |
