Script started on Sun 26 Nov 2017 02:27:26 PM EST
]0;alex@alex-obsidubuntu: ~/git/MSCS692/shah-03[01;32malex@alex-obsidubuntu[00m:[01;34m~/git/MSCS692/shah-03[00m$ exitpy autoencoder.py
2017-11-26 14:27:36.228457: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-11-26 14:27:36.335454: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-26 14:27:36.335682: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 10.89GiB freeMemory: 9.77GiB
2017-11-26 14:27:36.335692: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|           870 |    44366.9375 | Layer 1 | Epoch 15  |
|           900 |    44683.7695 | Layer 1 | Epoch 15  |
|           930 |    44575.3516 | Layer 1 | Epoch 16  |
|           960 |    44618.7383 | Layer 1 | Epoch 16  |
|           990 |    44409.6562 | Layer 1 | Epoch 17  |
|          1020 |    44218.2188 | Layer 1 | Epoch 17  |
|          1050 |    44268.3281 | Layer 1 | Epoch 18  |
|          1080 |    44172.7305 | Layer 1 | Epoch 18  |
|          1110 |    43979.0703 | Layer 1 | Epoch 19  |
|          1140 |    44222.8867 | Layer 1 | Epoch 19  |
|          1170 |    44088.4453 | Layer 1 | Epoch 20  |
|          1200 |    43932.3516 | Layer 1 | Epoch 20  |
|          1230 |    44406.4141 | Layer 1 | Epoch 21  |
|          1260 |    44157.6484 | Layer 1 | Epoch 21  |
|          1290 |    44106.6641 | Layer 1 | Epoch 22  |
|          1320 |    43617.7734 | Layer 1 | Epoch 22  |
|          1350 |    43635.8750 | Layer 1 | Epoch 23  |
|          1380 |    43969.9883 | Layer 1 | Epoch 23  |
|          1410 |    43844.1875 | Layer 1 | Epoch 24  |
|          1440 |    43727.3125 | Layer 1 | Epoch 24  |
|          1470 |    43521.2656 | Layer 1 | Epoch 25  |
|          1500 |    44058.4883 | Layer 1 | Epoch 25  |
|          1530 |    44011.3359 | Layer 1 | Epoch 26  |
|          1560 |    43692.6367 | Layer 1 | Epoch 26  |
|          1590 |    43994.2383 | Layer 1 | Epoch 27  |
|          1620 |    43561.2969 | Layer 1 | Epoch 27  |
|          1650 |    43622.3047 | Layer 1 | Epoch 28  |
|          1680 |    43482.6328 | Layer 1 | Epoch 28  |
|          1710 |    43732.0000 | Layer 1 | Epoch 29  |
|          1740 |    43543.8320 | Layer 1 | Epoch 29  |
|          1770 |    42710.1875 | Layer 1 | Epoch 30  |
|          1800 |    43462.3945 | Layer 1 | Epoch 30  |
|          1830 |    43077.8594 | Layer 1 | Epoch 31  |
|          1860 |    43454.5742 | Layer 1 | Epoch 31  |
|          1890 |    43871.8594 | Layer 1 | Epoch 31  |
|          1920 |    43016.5547 | Layer 1 | Epoch 32  |
|          1950 |    43476.0547 | Layer 1 | Epoch 32  |
|          1980 |    43725.4375 | Layer 1 | Epoch 33  |
|          2010 |    43554.4141 | Layer 1 | Epoch 33  |
|          2040 |    43723.8438 | Layer 1 | Epoch 34  |
|          2070 |    43068.0117 | Layer 1 | Epoch 34  |
|          2100 |    42973.3359 | Layer 1 | Epoch 35  |
|          2130 |    43113.8516 | Layer 1 | Epoch 35  |
|          2160 |    42993.9297 | Layer 1 | Epoch 36  |
|          2190 |    43555.9648 | Layer 1 | Epoch 36  |
|          2220 |    42800.0234 | Layer 1 | Epoch 37  |
|          2250 |    43415.5703 | Layer 1 | Epoch 37  |
|          2280 |    43667.6797 | Layer 1 | Epoch 38  |
|          2310 |    42352.1484 | Layer 1 | Epoch 38  |
